City,Year,Sport,NOC,Event,Gender,Medal
Athens,1896,Swimming,HUN,100m freestyle,M,Gold
Athens,1896,Swimming,AUT,100m freestyle,M,Silver
Athens,1896,Swimming,GRE,100m freestyle for sailors,M,Bronze
Athens,1896,Swimming,GRE,100m freestyle for sailors,M,Gold
Athens,1896,Swimming,GRE,100m freestyle for sailors,M,Silver
Athens,1896,Swimming,GRE,1200m freestyle,M,Bronze
Athens,1896,Swimming,HUN,1200m freestyle,M,Gold
Athens,1896,Swimming,GRE,1200m freestyle,M,Silver
Athens,1896,Swimming,GRE,400m freestyle,M,Bronze
Athens,1896,Swimming,AUT,400m freestyle,M,Gold
Athens,1896,Swimming,GRE,400m freestyle,M,Silver
Athens,1896,Athletics,USA,100m,M,Bronze
Athens,1896,Athletics,HUN,100m,M,Bronze
Athens,1896,Athletics,USA,100m,M,Gold
Athens,1896,Athletics,GER,100m,M,Silver
Athens,1896,Athletics,USA,110m hurdles,M,Gold
Athens,1896,Athletics,GBR,110m hurdles,M,Silver
Athens,1896,Athletics,FRA,1500m,M,Bronze
Athens,1896,Athletics,AUS,1500m,M,Gold
Athens,1896,Athletics,USA,1500m,M,Silver
Athens,1896,Athletics,GBR,400m,M,Bronze
Athens,1896,Athletics,USA,400m,M,Gold
Athens,1896,Athletics,USA,400m,M,Silver
Athens,1896,Athletics,GRE,800m,M,Bronze
Athens,1896,Athletics,AUS,800m,M,Gold
Athens,1896,Athletics,HUN,800m,M,Silver
Athens,1896,Athletics,GRE,discus throw,M,Bronze
Athens,1896,Athletics,USA,discus throw,M,Gold
Athens,1896,Athletics,GRE,discus throw,M,Silver
Athens,1896,Athletics,USA,high jump,M,Gold
Athens,1896,Athletics,USA,high jump,M,Silver
Athens,1896,Athletics,USA,long jump,M,Bronze
Athens,1896,Athletics,USA,long jump,M,Gold
Athens,1896,Athletics,USA,long jump,M,Silver
Athens,1896,Athletics,HUN,marathon,M,Bronze
Athens,1896,Athletics,GRE,marathon,M,Gold
Athens,1896,Athletics,GRE,marathon,M,Silver
Athens,1896,Athletics,GRE,pole vault,M,Bronze
Athens,1896,Athletics,USA,pole vault,M,Gold
Athens,1896,Athletics,USA,pole vault,M,Silver
Athens,1896,Athletics,GRE,shot put,M,Bronze
Athens,1896,Athletics,USA,shot put,M,Gold
Athens,1896,Athletics,GRE,shot put,M,Silver
Athens,1896,Athletics,GRE,triple jump,M,Bronze
Athens,1896,Athletics,USA,triple jump,M,Gold
Athens,1896,Athletics,FRA,triple jump,M,Silver
Athens,1896,Cycling,GBR,individual road race,M,Bronze
Athens,1896,Cycling,GRE,individual road race,M,Gold
Athens,1896,Cycling,GER,individual road race,M,Silver
Athens,1896,Cycling,FRA,100km,M,Gold
Athens,1896,Cycling,GRE,100km,M,Silver
Athens,1896,Cycling,AUT,10km,M,Bronze
Athens,1896,Cycling,FRA,10km,M,Gold
Athens,1896,Cycling,FRA,10km,M,Silver
Athens,1896,Cycling,AUT,12-hour race,M,Gold
Athens,1896,Cycling,GBR,12-hour race,M,Silver
Athens,1896,Cycling,AUT,1km time trial,M,Bronze
Athens,1896,Cycling,FRA,1km time trial,M,Gold
Athens,1896,Cycling,GRE,1km time trial,M,Silver
Athens,1896,Cycling,FRA,Sprint indivual,M,Bronze
Athens,1896,Cycling,FRA,Sprint indivual,M,Gold
Athens,1896,Cycling,GRE,Sprint indivual,M,Silver
Athens,1896,Fencing,GRE,foil individual,M,Bronze
Athens,1896,Fencing,FRA,foil individual,M,Gold
Athens,1896,Fencing,FRA,foil individual,M,Silver
Athens,1896,Fencing,GRE,"foil, masters",M,Gold
Athens,1896,Fencing,FRA,"foil, masters",M,Silver
Athens,1896,Fencing,DEN,sabre individual,M,Bronze
Athens,1896,Fencing,GRE,sabre individual,M,Gold
Athens,1896,Fencing,GRE,sabre individual,M,Silver
Athens,1896,Gymnastics,GER,horizontal bar,M,Gold
Athens,1896,Gymnastics,GER,horizontal bar,M,Silver
Athens,1896,Gymnastics,GER,parallel bars,M,Gold
Athens,1896,Gymnastics,SUI,parallel bars,M,Silver
Athens,1896,Gymnastics,SUI,pommel horse,M,Gold
Athens,1896,Gymnastics,GER,pommel horse,M,Silver
Athens,1896,Gymnastics,GRE,rings,M,Bronze
Athens,1896,Gymnastics,GRE,rings,M,Gold
Athens,1896,Gymnastics,GER,rings,M,Silver
Athens,1896,Gymnastics,GER,rope climbing,M,Bronze
Athens,1896,Gymnastics,GRE,rope climbing,M,Gold
Athens,1896,Gymnastics,GRE,rope climbing,M,Silver
Athens,1896,Gymnastics,GER,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,GRE,"team, parallel bars",M,Bronze
Athens,1896,Gymnastics,GER,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,GRE,"team, parallel bars",M,Silver
Athens,1896,Gymnastics,GER,vault,M,Bronze
Athens,1896,Gymnastics,GER,vault,M,Gold
Athens,1896,Gymnastics,SUI,vault,M,Silver
Athens,1896,Shooting,GRE,25m army pistol,M,Bronze
Athens,1896,Shooting,USA,25m army pistol,M,Gold
Athens,1896,Shooting,USA,25m army pistol,M,Silver
Athens,1896,Shooting,DEN,25m rapid fire pistol (60 shots),M,Bronze
Athens,1896,Shooting,GRE,25m rapid fire pistol (60 shots),M,Gold
Athens,1896,Shooting,GRE,25m rapid fire pistol (60 shots),M,Silver
Athens,1896,Shooting,GRE,50m pistol (60 shots),M,Bronze
Athens,1896,Shooting,USA,50m pistol (60 shots),M,Gold
Athens,1896,Shooting,DEN,50m pistol (60 shots),M,Silver
Athens,1896,Shooting,GRE,"army rifle, 200m",M,Bronze
Athens,1896,Shooting,GRE,"army rifle, 200m",M,Gold
Athens,1896,Shooting,GRE,"army rifle, 200m",M,Silver
Athens,1896,Shooting,DEN,"army rifle, 300m",M,Bronze
Athens,1896,Shooting,GRE,"army rifle, 300m",M,Gold
Athens,1896,Shooting,GRE,"army rifle, 300m",M,Silver
Athens,1896,Tennis,ZZX,doubles,M,Bronze
Athens,1896,Tennis,ZZX,doubles,M,Gold
Athens,1896,Tennis,ZZX,doubles,M,Silver
Athens,1896,Tennis,GRE,singles,M,Bronze
Athens,1896,Tennis,HUN,singles,M,Bronze
Athens,1896,Tennis,GBR,singles,M,Gold
Athens,1896,Tennis,GRE,singles,M,Silver
Athens,1896,Weightlifting,GRE,heavyweight - one hand lift,M,Bronze
Athens,1896,Weightlifting,GBR,heavyweight - one hand lift,M,Gold
Athens,1896,Weightlifting,DEN,heavyweight - one hand lift,M,Silver
Athens,1896,Weightlifting,GRE,heavyweight - two hand lift,M,Bronze
Athens,1896,Weightlifting,DEN,heavyweight - two hand lift,M,Gold
Athens,1896,Weightlifting,GBR,heavyweight - two hand lift,M,Silver
Athens,1896,Wrestling,GRE,open event,M,Bronze
Athens,1896,Wrestling,GER,open event,M,Gold
Athens,1900,Wrestling,GRE,open event,M,Silver
Paris,1900,Swimming,HUN,1500m freestyle,M,Bronze
Paris,1900,Swimming,GBR,1500m freestyle,M,Gold
Paris,1900,Swimming,AUT,1500m freestyle,M,Silver
Paris,1900,Swimming,NED,200m backstroke,M,Bronze
Paris,1900,Swimming,GER,200m backstroke,M,Gold
Paris,1900,Swimming,AUT,200m backstroke,M,Silver
Paris,1900,Swimming,AUT,200m freestyle,M,Bronze
Paris,1900,Swimming,AUS,200m freestyle,M,Gold
Paris,1900,Swimming,HUN,200m freestyle,M,Silver
Paris,1900,Swimming,GBR,200m obstacle event,M,Bronze
Paris,1900,Swimming,AUS,200m obstacle event,M,Gold
Paris,1900,Swimming,AUT,200m obstacle event,M,Silver
Paris,1900,Swimming,FRA,200m team swimming,M,Bronze
Paris,1900,Swimming,GER,200m team swimming,M,Gold
Paris,1900,Swimming,FRA,200m team swimming,M,Silver
Paris,1900,Swimming,FRA,4000m freestyle,M,Bronze
Paris,1900,Swimming,GBR,4000m freestyle,M,Gold
Paris,1900,Swimming,HUN,4000m freestyle,M,Silver
Paris,1900,Swimming,DEN,underwater swimming,M,Bronze
Paris,1900,Swimming,FRA,underwater swimming,M,Gold
Paris,1900,Swimming,FRA,underwater swimming,M,Silver
Paris,1900,Water polo,FRA,water polo,M,Bronze
Paris,1900,Water polo,GBR,water polo,M,Gold
Paris,1900,Water polo,BEL,water polo,M,Silver
Paris,1900,Archery,FRA,"au chapelet, 33m",M,Bronze
Paris,1900,Archery,BEL,"au chapelet, 33m",M,Gold
Paris,1900,Archery,FRA,"au chapelet, 33m",M,Silver
Paris,1900,Archery,FRA,"au chapelet, 50m",M,Bronze
Paris,1900,Archery,FRA,"au chapelet, 50m",M,Gold
Paris,1900,Archery,FRA,"au chapelet, 50m",M,Silver
Paris,1900,Archery,FRA,"au cordon doré, 33m",M,Bronze
Paris,1900,Archery,BEL,"au cordon doré, 33m",M,Gold
Paris,1900,Archery,FRA,"au cordon doré, 33m",M,Silver
Paris,1900,Archery,FRA,"au cordon doré, 50m",M,Bronze
Paris,1900,Archery,FRA,"au cordon doré, 50m",M,Gold
Paris,1900,Archery,BEL,"au cordon doré, 50m",M,Silver
Paris,1900,Archery,BEL,sur la perche à la herse,M,Gold
Paris,1900,Archery,BEL,sur la perche à la herse,M,Silver
Paris,1900,Archery,FRA,sur la perche à la herse,M,Silver
Paris,1900,Archery,BEL,sur la perche à la pyramide,M,Bronze
Paris,1900,Archery,FRA,sur la perche à la pyramide,M,Gold
Paris,1900,Archery,FRA,sur la perche à la pyramide,M,Silver
Paris,1900,Athletics,AUS,100m,M,Bronze
Paris,1900,Athletics,USA,100m,M,Gold
Paris,1900,Athletics,USA,100m,M,Silver
Paris,1900,Athletics,USA,110m hurdles,M,Bronze
Paris,1900,Athletics,USA,110m hurdles,M,Gold
Paris,1900,Athletics,USA,110m hurdles,M,Silver
Paris,1900,Athletics,USA,1500m,M,Bronze
Paris,1900,Athletics,GBR,1500m,M,Gold
Paris,1900,Athletics,FRA,1500m,M,Silver
Paris,1900,Athletics,AUS,200m,M,Bronze
Paris,1900,Athletics,USA,200m,M,Gold
Paris,1900,Athletics,IND,200m,M,Silver
Paris,1900,Athletics,USA,200m hurdles,M,Bronze
Paris,1900,Athletics,USA,200m hurdles,M,Gold
Paris,1900,Athletics,IND,200m hurdles,M,Silver
