Year,City,Country,CountryCode
1896,Athens,Greece,GRE
1900,Paris,France,FRA
1904,St. Louis,United States,USA
1908,Athens,Greece,GRE
1912,London,Great Britain,GBR
1916,Stockholm,Sweden,SWE
1920,Antwerp,Belgium,BEL
1924,Paris,France,FRA
1928,Amsterdam,Netherlands,DEN
1932,Los Angeles,United States,USA
1936,Berlin,Germany,GER
1948,London,Great Britain,GBR
1952,Helsinki,Finland,FIN
1956,Melbourne,Australia,ANZ
1960,Rome,Italy,ITA
1964,Tokyo,Japan,JPN
1968,Mexico City,Mexico,MEX
1972,Munich,Germany,GER
1976,Montreal,Canada,CAN
1980,Moscow,USSR,URS
1984,Los Angeles,United States,USA
1988,Seoul,South Korea,KOR
1992,Barcelona,Spain,ESP
1996,Atlanta,United States,USA
2000,Sydney,Australia,ANZ
2004,Athens,Greece,GRE
2008,Beijing,China,CHN
